District,Year,Month,Rainfall,Inflow From Other States,Consumption,Irrigation,Industry,Domestic,Built-Up,Agricultural,Forest,WasteLands,Wetlands,Waterbodies
13,2024,6,905.03,25.05,69.15,56.28,4.80,8.07,587.19,6674.47,629.62,142.24,203.33,517.15
13,2023,7,981.17,1294.56,186.62,173.31,4.96,8.34,581.22,6673.35,629.02,142.95,208.68,516.70
13,2024,7,1003.14,1703.86,380.30,367.00,4.96,8.34,587.19,6674.47,629.62,142.24,203.33,517.15
13,2023,9,29.87,1005.36,26.41,25.22,0.48,0.71,581.22,6673.35,629.02,142.95,208.68,516.70
13,2024,9,35.20,1784.60,23.82,22.63,0.48,0.71,587.19,6674.47,629.62,142.24,203.33,517.15
13,2023,10,6.26,219.07,27.88,26.66,0.49,0.74,581.22,6673.35,629.02,142.95,208.68,516.70
13,2024,10,22.13,543.97,38.47,37.25,0.49,0.74,587.19,6674.47,629.62,142.24,203.33,517.15
13,2023,12,810.60,53.20,156.74,143.44,4.96,8.34,581.22,6673.35,629.02,142.95,208.68,516.70
10,2024,1,0.00,31.55,14.15,12.98,0.47,0.70,515.14,11464.07,2996.96,1927.41,2013.32,714.67
10,2024,2,0.01,23.73,11.64,10.55,0.44,0.65,515.14,11464.07,2996.96,1927.41,2013.32,714.67
10,2024,3,0.00,23.57,13.78,12.62,0.47,0.70,515.14,11464.07,2996.96,1927.41,2013.32,714.67
10,2024,4,0.70,17.80,6.69,5.57,0.45,0.68,515.14,11464.07,2996.96,1927.41,2013.32,714.67
10,2024,5,27.34,13.08,5.61,4.45,0.47,0.70,515.14,11464.07,2996.96,1927.41,2013.32,714.67
10,2023,6,17.01,20.83,3.05,1.92,0.45,0.68,514.07,11461.12,2997.05,1928.68,2010.04,717.21
10,2024,6,41.68,25.05,6.84,5.71,0.45,0.68,515.14,11464.07,2996.96,1927.41,2013.32,714.67
10,2023,7,39.73,1294.56,55.76,54.59,0.47,0.70,514.07,11461.12,2997.05,1928.68,2010.04,717.21
10,2024,7,18.22,1703.86,20.05,18.89,0.47,0.70,515.14,11464.07,2996.96,1927.41,2013.32,714.67
10,2023,8,8.81,664.47,103.51,102.34,0.47,0.70,514.07,11461.12,2997.05,1928.68,2010.04,717.21
10,2024,8,52.01,1836.10,170.12,168.95,0.47,0.70,515.14,11464.07,2996.96,1927.41,2013.32,714.67
10,2023,9,28.98,1005.36,40.38,39.25,0.45,0.68,514.07,11461.12,2997.05,1928.68,2010.04,717.21
10,2024,9,31.10,1784.60,138.22,137.09,0.45,0.68,515.14,11464.07,2996.96,1927.41,2013.32,714.67
10,2023,10,0.38,219.07,22.39,21.23,0.47,0.70,514.07,11461.12,2997.05,1928.68,2010.04,717.21
10,2024,10,25.13,543.97,282.63,281.47,0.47,0.70,515.14,11464.07,2996.96,1927.41,2013.32,714.67
10,2023,11,8.77,25.45,21.83,20.70,0.45,0.68,514.07,11461.12,2997.05,1928.68,2010.04,717.21
10,2023,12,1.08,53.20,15.23,14.06,0.47,0.70,514.07,11461.12,2997.05,1928.68,2010.04,717.21
18,2024,1,12.61,31.55,209.03,209.03,0.00,0.00,397.14,10296.10,4200.84,1773.96,73.62,854.05
18,2024,2,0.53,23.73,135.15,135.15,0.00,0.00,397.14,10296.10,4200.84,1773.96,73.62,854.05
18,2024,4,13.86,17.80,64.23,64.23,0.00,0.00,397.14,10296.10,4200.84,1773.96,73.62,854.05
18,2023,6,379.46,20.83,69.58,69.58,0.00,0.00,393.84,10291.49,4202.16,1781.04,73.61,852.98
18,2024,6,905.03,25.05,56.28,56.28,0.00,0.00,397.14,10296.10,4200.84,1773.96,73.62,854.05
18,2023,7,981.17,1294.56,173.31,173.31,0.00,0.00,393.84,10291.49,4202.16,1781.04,73.61,852.98
18,2024,7,1003.14,1703.86,367.00,367.00,0.00,0.00,397.14,10296.10,4200.84,1773.96,73.62,854.05
18,2023,9,78.82,1005.36,9.49,7.83,1.06,0.60,393.84,10291.49,4202.16,1781.04,73.61,852.98
18,2024,9,76.47,1784.60,10.64,8.98,1.06,0.60,397.14,10296.10,4200.84,1773.96,73.62,854.05
18,2023,10,5.72,219.07,5.91,4.20,1.10,0.62,393.84,10291.49,4202.16,1781.04,73.61,852.98
18,2024,10,124.74,543.97,7.23,5.52,1.10,0.62,397.14,10296.10,4200.84,1773.96,73.62,854.05
18,2023,12,810.60,53.20,143.44,143.44,0.00,0.00,393.84,10291.49,4202.16,1781.04,73.61,852.98
20,2024,1,0.21,31.55,17.61,16.92,0.19,0.50,471.35,7163.89,2167.41,1371.48,595.47,1442.39
20,2024,2,0.00,23.73,14.21,13.56,0.17,0.47,471.35,7163.89,2167.41,1371.48,595.47,1442.39
20,2024,4,0.00,17.80,2.83,2.16,0.18,0.49,471.35,7163.89,2167.41,1371.48,595.47,1442.39
20,2023,6,9.39,20.83,21.19,20.52,0.18,0.49,468.30,7162.23,2167.69,1375.00,596.18,1442.32
20,2024,6,32.12,25.05,1.74,1.07,0.18,0.49,471.35,7163.89,2167.41,1371.48,595.47,1442.39
20,2023,7,26.87,1294.56,20.53,19.84,0.19,0.50,468.30,7162.23,2167.69,1375.00,596.18,1442.32
20,2024,7,45.01,1703.86,6.90,6.21,0.19,0.50,471.35,7163.89,2167.41,1371.48,595.47,1442.39
20,2023,9,33.27,1005.36,18.64,17.97,0.18,0.49,468.30,7162.23,2167.69,1375.00,596.18,1442.32
20,2024,9,32.18,1784.60,34.28,33.61,0.18,0.49,471.35,7163.89,2167.41,1371.48,595.47,1442.39
20,2023,10,5.70,219.07,8.03,7.34,0.19,0.50,468.30,7162.23,2167.69,1375.00,596.18,1442.32
20,2024,10,135.20,543.97,37.85,37.16,0.19,0.50,471.35,7163.89,2167.41,1371.48,595.47,1442.39
20,2023,12,105.79,53.20,11.93,11.24,0.19,0.50,468.30,7162.23,2167.69,1375.00,596.18,1442.32
21,2024,1,0.66,31.55,4.94,4.36,0.11,0.46,164.35,4157.19,630.65,481.68,72.09,339.11
21,2024,2,0.18,23.73,2.95,2.41,0.10,0.43,164.35,4157.19,630.65,481.68,72.09,339.11
21,2024,4,0.58,17.80,1.25,0.69,0.11,0.45,164.35,4157.19,630.65,481.68,72.09,339.11
21,2023,6,10.46,20.83,1.81,1.25,0.11,0.45,163.10,4155.38,631.95,482.83,72.51,339.12
21,2024,6,19.31,25.05,0.56,0.00,0.11,0.45,164.35,4157.19,630.65,481.68,72.09,339.11
21,2023,7,47.91,1294.56,6.90,6.32,0.11,0.46,163.10,4155.38,631.95,482.83,72.51,339.12
21,2024,7,39.32,1703.86,1.41,0.84,0.11,0.46,164.35,4157.19,630.65,481.68,72.09,339.11
21,2023,9,29.27,1005.36,23.00,22.44,0.11,0.45,163.10,4155.38,631.95,482.83,72.51,339.12
21,2024,9,47.49,1784.60,16.21,15.65,0.11,0.45,164.35,4157.19,630.65,481.68,72.09,339.11
21,2023,10,1.22,219.07,10.62,10.04,0.11,0.46,163.10,4155.38,631.95,482.83,72.51,339.12
21,2024,10,7.87,543.97,13.55,12.98,0.11,0.46,164.35,4157.19,630.65,481.68,72.09,339.11
21,2023,12,6.35,53.20,4.61,4.03,0.11,0.46,163.10,4155.38,631.95,482.83,72.51,339.12
23,2024,1,0.01,31.55,2.38,1.18,0.51,0.69,503.03,4740.40,4437.49,1463.91,38.53,340.46
23,2024,2,0.00,23.73,3.25,2.13,0.48,0.65,503.03,4740.40,4437.49,1463.91,38.53,340.46
23,2024,4,0.10,17.80,1.73,0.57,0.50,0.67,503.03,4740.40,4437.49,1463.91,38.53,340.46
23,2023,6,1.15,20.83,1.64,0.48,0.50,0.67,501.36,4739.90,4437.59,1465.69,38.86,340.31
23,2024,6,6.23,25.05,1.61,0.44,0.50,0.67,503.03,4740.40,4437.49,1463.91,38.53,340.46
23,2023,7,10.86,1294.56,1.90,0.70,0.51,0.69,501.36,4739.90,4437.59,1465.69,38.86,340.31
23,2024,7,8.11,1703.86,1.83,0.63,0.51,0.69,503.03,4740.40,4437.49,1463.91,38.53,340.46
23,2023,9,4.95,1005.36,4.77,3.60,0.50,0.67,501.36,4739.90,4437.59,1465.69,38.86,340.31
23,2024,9,10.56,1784.60,4.09,2.93,0.50,0.67,503.03,4740.40,4437.49,1463.91,38.53,340.46
23,2023,10,0.50,219.07,4.47,3.26,0.51,0.69,501.36,4739.90,4437.59,1465.69,38.86,340.31
23,2024,10,2.92,543.97,7.37,6.16,0.51,0.69,503.03,4740.40,4437.49,1463.91,38.53,340.46
23,2023,12,5.77,53.20,3.05,1.85,0.51,0.69,501.36,4739.90,4437.59,1465.69,38.86,340.31
24,2024,1,0.04,31.55,3.41,2.93,0.10,0.39,228.48,4117.09,1066.95,410.62,2.03,312.87
24,2024,2,0.01,23.73,2.73,2.28,0.09,0.36,228.48,4117.09,1066.95,410.62,2.03,312.87
24,2024,3,4.01,23.57,5.23,4.74,0.10,0.39,228.48,4117.09,1066.95,410.62,2.03,312.87
24,2024,4,0.35,17.80,3.48,3.01,0.10,0.37,228.48,4117.09,1066.95,410.62,2.03,312.87
24,2024,5,6.64,13.08,2.80,2.31,0.10,0.39,228.48,4117.09,1066.95,410.62,2.03,312.87
24,2023,6,7.12,20.83,1.34,0.87,0.10,0.37,223.25,4115.91,1070.38,412.61,2.01,312.50
24,2024,6,26.75,25.05,3.79,3.31,0.10,0.37,228.48,4117.09,1066.95,410.62,2.03,312.87
24,2023,7,44.37,1294.56,3.88,3.39,0.10,0.39,223.25,4115.91,1070.38,412.61,2.01,312.50
24,2024,7,33.69,1703.86,5.80,5.32,0.10,0.39,228.48,4117.09,1066.95,410.62,2.03,312.87
24,2023,8,21.94,664.47,7.33,6.85,0.10,0.39,223.25,4115.91,1070.38,412.61,2.01,312.50
24,2024,8,25.23,1836.10,10.85,10.36,0.10,0.39,228.48,4117.09,1066.95,410.62,2.03,312.87
24,2023,9,26.04,1005.36,10.05,9.58,0.10,0.37,223.25,4115.91,1070.38,412.61,2.01,312.50
24,2024,9,39.12,1784.60,9.80,9.33,0.10,0.37,228.48,4117.09,1066.95,410.62,2.03,312.87
24,2023,10,1.35,219.07,7.08,6.59,0.10,0.39,223.25,4115.91,1070.38,412.61,2.01,312.50
24,2024,10,6.00,543.97,12.92,12.44,0.10,0.39,228.48,4117.09,1066.95,410.62,2.03,312.87
24,2023,11,1.51,25.45,4.85,4.38,0.10,0.37,223.25,4115.91,1070.38,412.61,2.01,312.50
24,2023,12,14.91,53.20,3.53,3.04,0.10,0.39,223.25,4115.91,1070.38,412.61,2.01,312.50
25,2024,1,0.00,31.55,1.91,1.17,0.08,0.66,444.64,6173.09,1330.13,83.18,150.36,315.58
25,2024,2,0.00,23.73,7.80,7.11,0.07,0.61,444.64,6173.09,1330.13,83.18,150.36,315.58
25,2024,3,0.48,23.57,19.33,18.59,0.08,0.66,444.64,6173.09,1330.13,83.18,150.36,315.58
25,2024,4,0.00,17.80,12.54,11.83,0.08,0.64,444.64,6173.09,1330.13,83.18,150.36,315.58
25,2024,5,5.48,13.08,9.72,8.99,0.08,0.66,444.64,6173.09,1330.13,83.18,150.36,315.58
25,2023,6,8.65,20.83,0.71,0.00,0.08,0.64,442.79,6171.81,1332.09,83.54,151.50,315.05
25,2024,6,14.33,25.05,11.68,10.97,0.08,0.64,444.64,6173.09,1330.13,83.18,150.36,315.58
25,2023,7,14.96,1294.56,1.13,0.40,0.08,0.66,442.79,6171.81,1332.09,83.54,151.50,315.05
25,2024,7,28.38,1703.86,12.87,12.13,0.08,0.66,444.64,6173.09,1330.13,83.18,150.36,315.58
25,2023,8,6.16,664.47,2.24,1.51,0.08,0.66,442.79,6171.81,1332.09,83.54,151.50,315.05
25,2024,8,21.09,1836.10,12.01,11.27,0.08,0.66,444.64,6173.09,1330.13,83.18,150.36,315.58
25,2023,9,15.87,1005.36,2.24,1.52,0.08,0.64,442.79,6171.81,1332.09,83.54,151.50,315.05
25,2024,9,17.47,1784.60,5.11,4.40,0.08,0.64,444.64,6173.09,1330.13,83.18,150.36,315.58
25,2023,10,2.13,219.07,2.12,1.39,0.08,0.66,442.79,6171.81,1332.09,83.54,151.50,315.05
25,2024,10,14.81,543.97,2.67,1.93,0.08,0.66,444.64,6173.09,1330.13,83.18,150.36,315.58
25,2023,11,4.93,25.45,1.36,0.65,0.08,0.64,442.79,6171.81,1332.09,83.54,151.50,315.05
25,2023,12,23.79,53.20,1.18,0.45,0.08,0.66,442.79,6171.81,1332.09,83.54,151.50,315.05
26,2024,1,0.33,31.55,56.67,56.19,0.00,0.48,369.39,6560.00,4917.37,2605.02,3.83,900.29
26,2024,2,0.00,23.73,34.10,33.65,0.00,0.45,369.39,6560.00,4917.37,2605.02,3.83,900.29
26,2024,4,0.19,17.80,3.43,2.96,0.00,0.47,369.39,6560.00,4917.37,2605.02,3.83,900.29
26,2023,6,12.66,20.83,2.78,2.31,0.00,0.47,367.57,6559.05,4917.94,2608.05,3.83,899.31
26,2024,6,52.06,25.05,4.35,3.89,0.00,0.47,369.39,6560.00,4917.37,2605.02,3.83,900.29
26,2023,7,27.87,1294.56,4.93,4.45,0.00,0.48,367.57,6559.05,4917.94,2608.05,3.83,899.31
26,2024,7,25.34,1703.86,5.59,5.11,0.00,0.48,369.39,6560.00,4917.37,2605.02,3.83,900.29
26,2023,9,57.31,1005.36,15.57,15.10,0.00,0.47,367.57,6559.05,4917.94,2608.05,3.83,899.31
26,2024,9,36.86,1784.60,30.06,29.60,0.00,0.47,369.39,6560.00,4917.37,2605.02,3.83,900.29
26,2023,10,2.09,219.07,8.24,7.75,0.00,0.48,367.57,6559.05,4917.94,2608.05,3.83,899.31
26,2024,10,69.88,543.97,22.00,21.52,0.00,0.48,369.39,6560.00,4917.37,2605.02,3.83,900.29
26,2023,12,29.68,53.20,32.16,31.68,0.00,0.48,367.57,6559.05,4917.94,2608.05,3.83,899.31
